Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
10-10-2017,"8,52,525","35,33,849","7,59,165","3,00,910",260,"8,22,664","2,34,767","7,32,828","2,67,840"
10-09-2017,"5,59,731","18,78,587","4,42,244","1,27,598","81,889","6,62,532","2,20,436","9,82,587","1,68,000"
10-06-2017,"5,08,204","22,27,930","4,18,134","1,34,389",0,"4,17,772","2,98,236","9,04,736","1,16,405"
10-05-2017,"6,88,957","24,90,366","4,94,778","1,65,771","14,429","8,94,312","2,48,398","13,40,770","1,03,892"
10-04-2017,"2,97,026","54,39,623","6,51,318","3,02,920","31,662","6,31,236","2,09,345","18,17,373","2,74,364"
10-03-2017,"5,60,639","79,04,078","8,79,692","2,59,778","7,000","7,15,484","3,50,745","9,94,926","3,50,451"
10-02-2017,"6,64,249","51,18,971","5,55,641","3,40,030","6,200","9,92,599","3,76,276","20,82,147","79,601"
9/29/2017,"5,81,641","60,17,361","3,77,278","3,43,418","51,096","13,57,677","3,64,555","18,74,538","1,53,358"
9/28/2017,"7,16,291","41,95,115","3,50,289","5,15,574",0,"6,65,338","4,16,967","11,80,621","3,80,590"
9/27/2017,"7,48,106","37,98,076","2,30,837","5,67,816","28,225","9,60,226","5,48,873","22,88,089","3,48,454"
9/26/2017,"4,66,202","44,06,305","5,44,384","3,54,059",0,"9,47,285","10,55,829","14,04,664","1,92,534"
9/25/2017,"10,38,190","56,72,144","7,52,241","3,59,815",0,"8,72,065","4,25,377","10,97,645","2,24,229"
9/22/2017,"3,67,895","52,17,571","7,67,804","3,71,597","4,156","6,76,017","7,16,287","12,25,076","1,47,449"
9/21/2017,"4,60,074","78,60,954","16,78,540","8,80,034",979,"9,75,088","2,99,121","10,03,505","1,95,299"
9/20/2017,"5,85,523","59,76,751","21,06,378","4,65,686","15,070","12,67,504","4,22,655","18,12,377","2,76,699"
9/19/2017,"8,45,205","21,19,143","3,11,113","2,38,840","13,900","22,07,818","4,16,720","11,93,710","1,27,123"
9/18/2017,"4,69,644","39,49,514","2,88,943","3,57,626","58,745","18,28,615","4,70,362","21,24,529","2,62,515"
9/15/2017,"3,77,135","50,60,039","3,51,708","3,52,743","20,390","8,59,895","6,78,943","15,40,533","1,53,938"
9/14/2017,"3,29,605","36,01,820","2,95,945","1,94,134","38,193","12,48,396","4,61,481","41,24,732","1,41,658"
9/13/2017,"4,28,856","29,55,438","2,49,485","2,74,847","4,092","9,66,420","4,39,749","22,01,224","1,50,091"
09-12-2017,"6,06,086","44,95,210","2,50,611","2,35,496","39,740","19,24,861","4,97,276","9,36,886","2,57,071"
09-11-2017,"3,12,525","70,11,659","1,62,536","1,86,064",200,"17,26,322","4,50,999","11,81,329","2,23,059"
09-08-2017,"3,36,306","89,62,679","3,73,866","2,80,080","2,910","15,15,592","7,44,059","13,18,599","1,44,399"
09-07-2017,"4,23,328","40,00,161","4,47,677","2,40,034",0,"16,72,299","5,03,195","15,13,237","1,79,879"
09-06-2017,"3,81,873","62,76,280","6,55,783","2,06,917","5,500","7,30,814","3,63,296","15,50,002","3,20,846"
09-05-2017,"7,73,922","62,70,154","4,30,311","3,60,770",0,"8,82,682","4,37,247","15,86,023","2,22,301"
09-01-2017,"3,68,727","53,31,908","7,53,325","10,09,853",100,"12,66,412","6,50,995","10,36,445","2,95,303"
8/31/2017,"8,36,068","87,96,015","4,97,415","5,63,776",500,"13,26,062","7,39,866","13,56,533","2,50,954"
8/30/2017,"5,72,209","67,64,176","3,73,533","1,25,631","3,012","11,25,660","5,81,224","10,59,176","2,48,099"
8/29/2017,"5,08,382","70,67,634","6,11,419","2,73,128",500,"8,21,725","4,61,247","14,37,046","1,97,948"
8/28/2017,"3,17,472","99,97,922","3,91,101","4,33,995","14,900","9,36,552","9,11,257","12,89,348","99,688"
8/25/2017,"3,89,200","86,48,308","3,02,754","2,96,809",0,"6,71,692","3,68,310","11,44,712","2,65,808"
8/24/2017,"2,93,964","75,84,029","8,45,205","6,31,885",800,"8,08,175","6,58,459","7,40,016","1,66,511"
8/23/2017,"3,03,474","1,65,74,570","5,57,535","2,40,106","1,500","15,01,026","9,22,717","6,57,846","3,16,739"
8/22/2017,"4,81,290","1,52,80,900","13,94,722","2,71,697",0,"11,45,722","5,54,794","7,82,135","1,58,384"
8/21/2017,"8,06,227","3,07,00,560","2,54,057","3,37,470",100,"14,05,439","2,79,776","10,46,571","1,74,742"
8/18/2017,"4,23,115","3,35,92,340","2,16,974","1,71,222","6,210","20,01,231","2,05,179","13,32,221","1,38,361"
8/17/2017,"4,31,099","90,90,998","4,33,520","2,70,863","4,221","21,53,086","4,03,243","21,14,996","1,76,121"
8/16/2017,"6,10,326","77,00,742","3,02,054","2,81,674","4,455","15,26,739","4,60,558","19,31,209","1,40,912"
8/15/2017,"5,65,074","22,18,274","4,29,267","2,61,491","1,07,365","21,02,911","2,79,616","6,32,709","75,558"
8/14/2017,"5,21,047","19,32,605","8,95,759","4,11,889","5,035","18,29,822","3,80,268","14,28,073","84,353"
08-11-2017,"12,99,719","34,17,108","7,15,871","5,02,009",0,"19,80,257","5,89,192","14,18,119","95,692"
08-10-2017,"6,98,149","49,63,142","15,42,851","8,66,358","3,100","45,15,180","6,63,795","16,08,702","1,29,947"
08-09-2017,"6,17,583","25,23,530","7,17,977","6,06,393",0,"40,07,023","2,98,882","10,78,506","2,19,827"
08-08-2017,"7,20,412","24,76,228","3,94,368","5,44,976","52,250","23,42,454","3,08,351","11,95,835","2,03,555"
08-07-2017,"5,94,157","34,03,688","2,70,777","4,97,040",170,"24,92,645","2,85,645","17,28,525","1,85,174"
08-04-2017,"10,06,680","22,16,819","3,11,317","7,04,387",400,"11,65,650","4,86,172","13,36,152","6,11,448"
08-03-2017,"4,77,985","56,42,660","2,50,598","4,35,386",0,"12,49,866","2,89,319","6,41,660","1,94,361"
08-02-2017,"6,08,639","27,25,767","3,96,203","4,04,003","1,250","6,11,563","2,60,978","11,72,369","3,99,629"
08-01-2017,"10,40,708","55,79,682","2,48,315","5,96,879",500,"7,96,796","2,65,329","17,46,235","3,82,111"
7/31/2017,"4,04,234","60,38,202","5,61,650","9,12,838","3,698","13,03,198","5,94,659","11,38,895","4,88,085"
7/28/2017,"3,35,182","31,90,182","4,23,362","9,01,325",620,"7,37,318","3,24,608","13,88,986","1,74,583"
7/27/2017,"5,61,561","42,93,028","9,01,661","5,65,724","1,650","11,58,410","3,47,178","14,35,320","1,43,411"
7/26/2017,"6,87,550","34,19,735","7,64,323","3,23,908","33,750","11,67,493","3,77,263","16,70,575","1,40,485"
7/25/2017,"6,74,952","54,31,476","4,32,440","2,29,232","15,900","9,93,916","4,16,628","14,14,435","1,34,763"
7/24/2017,"7,16,862","45,78,505","2,67,481","4,68,128","3,307","10,89,148","5,03,480","19,42,111","1,42,060"
7/21/2017,"2,90,021","48,61,448","4,38,682","2,20,501",200,"10,15,811","3,93,508","36,97,328","2,95,473"
7/20/2017,"5,92,359","49,75,044","5,66,338","3,89,933","2,735","6,06,266","3,61,920","19,60,355","2,83,411"
7/19/2017,"5,30,756","78,23,684","12,26,206","3,74,556","9,330","16,96,841","3,67,332","9,05,863","2,81,078"
7/18/2017,"3,36,065","64,85,356","2,56,561","3,44,504",0,"10,86,321","4,66,004","8,63,163","2,96,989"
7/17/2017,"3,43,678","72,56,171","2,75,660","1,55,066","2,300","6,41,075","3,13,353","10,66,330","1,45,909"
7/14/2017,"6,13,709","1,16,65,890","3,24,605","93,274",201,"8,12,656","3,54,458","11,77,773","1,92,425"
7/13/2017,"3,35,570","1,01,61,790","3,57,467","1,59,529",0,"7,30,997","3,68,017","11,11,840","2,39,406"
07-12-2017,"4,55,484","1,06,37,400","1,77,833","1,14,330","1,250","12,04,346","2,72,031","8,84,675","1,99,886"
07-11-2017,"6,57,981","53,72,611","3,68,986","1,45,674",388,"14,01,668","5,05,921","11,64,709","1,48,611"
07-10-2017,"4,24,833","71,11,910","2,72,155","1,72,252","22,000","16,93,875","4,57,465","21,09,408","1,28,337"
07-07-2017,"4,37,886","41,34,490","3,40,172","1,45,369","16,200","11,19,424","2,93,730","11,75,266","1,95,097"
07-06-2017,"6,05,111","53,93,070","1,41,388","1,08,739","12,000","14,29,722","3,30,782","6,14,932","2,03,743"
07-05-2017,"6,18,193","52,88,868","3,25,742","1,29,994",300,"11,58,249","7,33,433","9,48,717","1,29,367"
07-03-2017,"5,63,049","35,42,074","4,41,467","1,51,664",0,"6,09,357","2,36,646","3,60,584","65,422"
6/30/2017,"9,99,661","91,03,032","2,34,372","1,78,634","22,700","25,64,278","4,49,202","10,58,787","2,29,382"
6/29/2017,"6,79,402","48,02,527","4,22,097","3,35,278","5,400","13,93,394","4,37,019","9,67,823","2,07,278"
6/28/2017,"7,65,846","70,64,148","3,99,597","2,39,643","32,950","11,57,334","5,69,620","4,51,534","1,80,437"
6/27/2017,"8,72,288","74,25,400","8,53,439","2,50,692","4,100","6,98,706","4,20,346","9,35,288","1,36,791"
6/26/2017,"6,73,962","30,39,215","4,70,766","2,14,794","13,700","8,19,971","2,97,864","10,11,243","1,89,240"
6/23/2017,"11,72,738","41,69,750","3,79,332","1,32,928","21,415","11,50,258","3,71,585","12,80,587","1,43,262"
